"","level","Overall","Atlantic","BC","Ontario","Prairies","p","test"
"n","","37151","5249","6164","12206","13532","",""
"sex....","Female","14980 (40.3) ","2213 (42.2) ","2572 (41.7) "," 4840 (39.7) "," 5355 (39.6) ","<0.001",""
"X","Male","22171 (59.7) ","3036 (57.8) ","3592 (58.3) "," 7366 (60.3) "," 8177 (60.4) ","",""
"age_group....","16-24"," 3733 (10.0) "," 368 ( 7.0) "," 665 (10.8) "," 1240 (10.2) "," 1460 (10.8) ","<0.001",""
"X.1","25-34"," 6504 (17.5) "," 889 (16.9) ","1218 (19.8) "," 2074 (17.0) "," 2323 (17.2) ","",""
"X.2","35-44"," 5864 (15.8) "," 838 (16.0) ","1043 (16.9) "," 1790 (14.7) "," 2193 (16.2) ","",""
"X.3","45-54"," 5558 (15.0) "," 830 (15.8) "," 862 (14.0) "," 2004 (16.4) "," 1862 (13.8) ","",""
"X.4","55-64"," 8157 (22.0) ","1239 (23.6) ","1230 (20.0) "," 2703 (22.1) "," 2985 (22.1) ","",""
"X.5","65-74"," 6206 (16.7) "," 903 (17.2) "," 939 (15.2) "," 2040 (16.7) "," 2324 (17.2) ","",""
"X.6","75+"," 1129 ( 3.0) "," 182 ( 3.5) "," 207 ( 3.4) ","  355 ( 2.9) ","  385 ( 2.8) ","",""
"ethnic....","minority"," 5888 (15.8) "," 365 ( 7.0) ","1472 (23.9) "," 2041 (16.7) "," 2010 (14.9) ","<0.001",""
"X.7","white","31263 (84.2) ","4884 (93.0) ","4692 (76.1) ","10165 (83.3) ","11522 (85.1) ","",""
"quintsoc....","1"," 7767 (20.9) "," 663 (12.6) ","1216 (19.7) "," 2823 (23.1) "," 3065 (22.7) ","<0.001",""
"X.8","2"," 7779 (20.9) ","1289 (24.6) ","1262 (20.5) "," 2848 (23.3) "," 2380 (17.6) ","",""
"X.9","3"," 7506 (20.2) ","1334 (25.4) ","1164 (18.9) "," 2320 (19.0) "," 2688 (19.9) ","",""
"X.10","4"," 6994 (18.8) ","1071 (20.4) ","1046 (17.0) "," 2087 (17.1) "," 2790 (20.6) ","",""
"X.11","5"," 7105 (19.1) "," 892 (17.0) ","1476 (23.9) "," 2128 (17.4) "," 2609 (19.3) ","",""
"quintmat....","1","11652 (31.4) "," 948 (18.1) ","1898 (30.8) "," 3273 (26.8) "," 5533 (40.9) ","<0.001",""
"X.12","2"," 9176 (24.7) ","1183 (22.5) ","1587 (25.7) "," 3160 (25.9) "," 3246 (24.0) ","",""
"X.13","3"," 7283 (19.6) ","1098 (20.9) ","1213 (19.7) "," 2616 (21.4) "," 2356 (17.4) ","",""
"X.14","4"," 5761 (15.5) ","1132 (21.6) "," 940 (15.2) "," 2036 (16.7) "," 1653 (12.2) ","",""
"X.15","5"," 3279 ( 8.8) "," 888 (16.9) "," 526 ( 8.5) "," 1121 ( 9.2) ","  744 ( 5.5) ","",""
"urban....","Rural"," 4780 (12.9) "," 958 (18.3) "," 189 ( 3.1) "," 1924 (15.8) "," 1709 (12.6) ","<0.001",""
"X.16","Urban","32371 (87.1) ","4291 (81.7) ","5975 (96.9) ","10282 (84.2) ","11823 (87.4) ","",""
