"Month","Age Group","Overall","Atlantic","BC","Ontario","Prairies","p","test"
"total","","6842","1092","1247","2087","2416","",""
,"16-24"," 726 (10.6) ","  56 ( 5.1) "," 122 ( 9.8) "," 285 (13.7) "," 263 (10.9) ","<0.001",""
,"25-34","1324 (19.4) "," 184 (16.8) "," 263 (21.1) "," 429 (20.6) "," 448 (18.5) ","",""
,"35-44","1158 (16.9) "," 173 (15.8) "," 215 (17.2) "," 348 (16.7) "," 422 (17.5) ","",""
,"45-54"," 905 (13.2) "," 178 (16.3) "," 162 (13.0) "," 255 (12.2) "," 310 (12.8) ","",""
,"55-64","1411 (20.6) "," 270 (24.7) "," 238 (19.1) "," 393 (18.8) "," 510 (21.1) ","",""
,"65-74","1130 (16.5) "," 197 (18.0) "," 204 (16.4) "," 325 (15.6) "," 404 (16.7) ","",""
,"75+"," 188 ( 2.7) ","  34 ( 3.1) ","  43 ( 3.4) ","  52 ( 2.5) ","  59 ( 2.4) ","",""
"total","","7429","939","1187","2565","2738","",""
,"16-24"," 714 ( 9.6) "," 61 ( 6.5) "," 141 (11.9) "," 239 ( 9.3) "," 273 (10.0) ","<0.001",""
,"25-34","1293 (17.4) ","172 (18.3) "," 235 (19.8) "," 421 (16.4) "," 465 (17.0) ","",""
,"35-44","1166 (15.7) ","148 (15.8) "," 194 (16.3) "," 394 (15.4) "," 430 (15.7) ","",""
,"45-54","1122 (15.1) ","150 (16.0) "," 169 (14.2) "," 451 (17.6) "," 352 (12.9) ","",""
,"55-64","1690 (22.7) ","221 (23.5) "," 234 (19.7) "," 594 (23.2) "," 641 (23.4) ","",""
,"65-74","1238 (16.7) ","155 (16.5) "," 181 (15.2) "," 397 (15.5) "," 505 (18.4) ","",""
,"75+"," 206 ( 2.8) "," 32 ( 3.4) ","  33 ( 2.8) ","  69 ( 2.7) ","  72 ( 2.6) ","",""
"total","","7698","1062","1321","2611","2704","",""
,"16-24"," 716 ( 9.3) ","  66 ( 6.2) "," 127 ( 9.6) "," 232 ( 8.9) "," 291 (10.8) ","<0.001",""
,"25-34","1296 (16.8) "," 179 (16.9) "," 232 (17.6) "," 424 (16.2) "," 461 (17.0) ","",""
,"35-44","1184 (15.4) "," 171 (16.1) "," 225 (17.0) "," 355 (13.6) "," 433 (16.0) ","",""
,"45-54","1224 (15.9) "," 173 (16.3) "," 187 (14.2) "," 469 (18.0) "," 395 (14.6) ","",""
,"55-64","1710 (22.2) "," 232 (21.8) "," 301 (22.8) "," 587 (22.5) "," 590 (21.8) ","",""
,"65-74","1308 (17.0) "," 201 (18.9) "," 203 (15.4) "," 461 (17.7) "," 443 (16.4) ","",""
,"75+"," 260 ( 3.4) ","  40 ( 3.8) ","  46 ( 3.5) ","  83 ( 3.2) ","  91 ( 3.4) ","",""
"total","","7775","1066","1245","2625","2839","",""
,"16-24"," 840 (10.8) "," 124 (11.6) "," 153 (12.3) "," 252 ( 9.6) "," 311 (11.0) ","<0.001",""
,"25-34","1281 (16.5) "," 185 (17.4) "," 255 (20.5) "," 393 (15.0) "," 448 (15.8) ","",""
,"35-44","1261 (16.2) "," 159 (14.9) "," 215 (17.3) "," 403 (15.4) "," 484 (17.0) ","",""
,"45-54","1152 (14.8) "," 153 (14.4) "," 177 (14.2) "," 426 (16.2) "," 396 (13.9) ","",""
,"55-64","1726 (22.2) "," 251 (23.5) "," 229 (18.4) "," 604 (23.0) "," 642 (22.6) ","",""
,"65-74","1272 (16.4) "," 156 (14.6) "," 169 (13.6) "," 464 (17.7) "," 483 (17.0) ","",""
,"75+"," 243 ( 3.1) ","  38 ( 3.6) ","  47 ( 3.8) ","  83 ( 3.2) ","  75 ( 2.6) ","",""
