"","level","Overall","Atlantic","BC","Ontario","Prairies","p","test"
"","n","420319","43998","67592","186745","121984","",""
"sex....","Female","180859 (43.0) ","19597 (44.5) ","29589 (43.8) "," 80351 (43.0) "," 51322 (42.1) ","<0.001",""
"X","Male","239460 (57.0) ","24401 (55.5) ","38003 (56.2) ","106394 (57.0) "," 70662 (57.9) ","",""
"age_group....","16-24"," 31983 ( 7.6) "," 2806 ( 6.4) "," 4639 ( 6.9) "," 14487 ( 7.8) "," 10051 ( 8.2) ","<0.001",""
"X.1","25-34"," 73564 (17.5) "," 6286 (14.3) ","12525 (18.5) "," 33502 (17.9) "," 21251 (17.4) ","",""
"X.2","35-44"," 71834 (17.1) "," 6675 (15.2) ","11993 (17.7) "," 31312 (16.8) "," 21854 (17.9) ","",""
"X.3","45-54"," 73694 (17.5) "," 7959 (18.1) ","11487 (17.0) "," 33900 (18.2) "," 20348 (16.7) ","",""
"X.4","55-64"," 96046 (22.9) ","11227 (25.5) ","14468 (21.4) "," 42938 (23.0) "," 27413 (22.5) ","",""
"X.5","65-74"," 62027 (14.8) "," 7616 (17.3) ","10294 (15.2) "," 26090 (14.0) "," 18027 (14.8) ","",""
"X.6","75+"," 11171 ( 2.7) "," 1429 ( 3.2) "," 2186 ( 3.2) ","  4516 ( 2.4) ","  3040 ( 2.5) ","",""
"ethnic....","Minority"," 70935 (16.9) "," 2881 ( 6.5) ","16453 (24.3) "," 33163 (17.8) "," 18438 (15.1) ","<0.001",""
"X.7","White","349384 (83.1) ","41117 (93.5) ","51139 (75.7) ","153582 (82.2) ","103546 (84.9) ","",""
"quintsoc....","1"," 89390 (21.3) "," 5466 (12.4) ","12859 (19.0) "," 43248 (23.2) "," 27817 (22.8) ","<0.001",""
"X.8","2"," 89168 (21.2) ","10818 (24.6) ","14473 (21.4) "," 41603 (22.3) "," 22274 (18.3) ","",""
"X.9","3"," 84219 (20.0) ","11380 (25.9) ","13149 (19.5) "," 36019 (19.3) "," 23671 (19.4) ","",""
"X.10","4"," 78222 (18.6) "," 9111 (20.7) ","11889 (17.6) "," 32452 (17.4) "," 24770 (20.3) ","",""
"X.11","5"," 79320 (18.9) "," 7223 (16.4) ","15222 (22.5) "," 33423 (17.9) "," 23452 (19.2) ","",""
"quintmat....","1","126094 (30.0) "," 7754 (17.6) ","19775 (29.3) "," 49068 (26.3) "," 49497 (40.6) ","<0.001",""
"X.12","2","103314 (24.6) "," 9821 (22.3) ","17959 (26.6) "," 45895 (24.6) "," 29639 (24.3) ","",""
"X.13","3"," 85695 (20.4) "," 9145 (20.8) ","13784 (20.4) "," 41023 (22.0) "," 21743 (17.8) ","",""
"X.14","4"," 66536 (15.8) "," 9930 (22.6) ","10251 (15.2) "," 32068 (17.2) "," 14287 (11.7) ","",""
"X.15","5"," 38680 ( 9.2) "," 7348 (16.7) "," 5823 ( 8.6) "," 18691 (10.0) ","  6818 ( 5.6) ","",""
"urban....","Rural"," 55623 (13.2) "," 7805 (17.7) "," 3117 ( 4.6) "," 29851 (16.0) "," 14850 (12.2) ","<0.001",""
"X.16","Urban","364696 (86.8) ","36193 (82.3) ","64475 (95.4) ","156894 (84.0) ","107134 (87.8) ","",""
