"","level","Overall","Atlantic","BC","Ontario","Prairies","p","test"
"n","","82868","9177","12821","36982","23888","",""
"sex....","Female","35879 (43.3) ","4000 (43.6) "," 5557 (43.3) ","16216 (43.8) ","10106 (42.3) "," 0.002",""
"X","Male","46989 (56.7) ","5177 (56.4) "," 7264 (56.7) ","20766 (56.2) ","13782 (57.7) ","",""
"age_group....","16-24"," 5678 ( 6.9) "," 507 ( 5.5) ","  752 ( 5.9) "," 2716 ( 7.3) "," 1703 ( 7.1) ","<0.001",""
"X.1","25-34","15672 (18.9) ","1345 (14.7) "," 2690 (21.0) "," 7232 (19.6) "," 4405 (18.4) ","",""
"X.2","35-44","14158 (17.1) ","1395 (15.2) "," 2326 (18.1) "," 6129 (16.6) "," 4308 (18.0) ","",""
"X.3","45-54","14372 (17.3) ","1654 (18.0) "," 2131 (16.6) "," 6599 (17.8) "," 3988 (16.7) ","",""
"X.4","55-64","18702 (22.6) ","2336 (25.5) "," 2671 (20.8) "," 8371 (22.6) "," 5324 (22.3) ","",""
"X.5","65-74","12040 (14.5) ","1614 (17.6) "," 1837 (14.3) "," 5062 (13.7) "," 3527 (14.8) ","",""
"X.6","75+"," 2246 ( 2.7) "," 326 ( 3.6) ","  414 ( 3.2) ","  873 ( 2.4) ","  633 ( 2.6) ","",""
"ethnic....","minority","13722 (16.6) "," 539 ( 5.9) "," 3096 (24.1) "," 6433 (17.4) "," 3654 (15.3) ","<0.001",""
"X.7","white","69146 (83.4) ","8638 (94.1) "," 9725 (75.9) ","30549 (82.6) ","20234 (84.7) ","",""
"quintsoc....","1","16989 (20.5) ","1171 (12.8) "," 2278 (17.8) "," 8304 (22.5) "," 5236 (21.9) ","<0.001",""
"X.8","2","17566 (21.2) ","2423 (26.4) "," 2701 (21.1) "," 8118 (22.0) "," 4324 (18.1) ","",""
"X.9","3","16725 (20.2) ","2369 (25.8) "," 2478 (19.3) "," 7222 (19.5) "," 4656 (19.5) ","",""
"X.10","4","15431 (18.6) ","1817 (19.8) "," 2355 (18.4) "," 6561 (17.7) "," 4698 (19.7) ","",""
"X.11","5","16157 (19.5) ","1397 (15.2) "," 3009 (23.5) "," 6777 (18.3) "," 4974 (20.8) ","",""
"quintmat....","1","25521 (30.8) ","1680 (18.3) "," 3960 (30.9) "," 9891 (26.7) "," 9990 (41.8) ","<0.001",""
"X.12","2","19934 (24.1) ","1891 (20.6) "," 3296 (25.7) "," 8940 (24.2) "," 5807 (24.3) ","",""
"X.13","3","16800 (20.3) ","1867 (20.3) "," 2605 (20.3) "," 8186 (22.1) "," 4142 (17.3) ","",""
"X.14","4","13065 (15.8) ","2149 (23.4) "," 1860 (14.5) "," 6330 (17.1) "," 2726 (11.4) ","",""
"X.15","5"," 7548 ( 9.1) ","1590 (17.3) "," 1100 ( 8.6) "," 3635 ( 9.8) "," 1223 ( 5.1) ","",""
"urban....","Rural","10672 (12.9) ","1788 (19.5) ","  570 ( 4.4) "," 5649 (15.3) "," 2665 (11.2) ","<0.001",""
"X.16","Urban","72196 (87.1) ","7389 (80.5) ","12251 (95.6) ","31333 (84.7) ","21223 (88.8) ","",""
