"Month","Age Group","Overall","Atlantic","BC","Ontario","Prairies","p","test"
"total","","13550","1432","1984","6504","3630","",""
,"16-24","  915 ( 6.8) ","  85 ( 5.9) "," 111 ( 5.6) "," 451 ( 6.9) "," 268 ( 7.4) ","<0.001",""
,"25-34"," 2600 (19.2) "," 210 (14.7) "," 429 (21.6) ","1264 (19.4) "," 697 (19.2) ","",""
,"35-44"," 2226 (16.4) "," 211 (14.7) "," 348 (17.5) ","1039 (16.0) "," 628 (17.3) ","",""
,"45-54"," 2353 (17.4) "," 244 (17.0) "," 312 (15.7) ","1175 (18.1) "," 622 (17.1) ","",""
,"55-64"," 3053 (22.5) "," 347 (24.2) "," 410 (20.7) ","1511 (23.2) "," 785 (21.6) ","",""
,"65-74"," 2025 (14.9) "," 291 (20.3) "," 307 (15.5) "," 901 (13.9) "," 526 (14.5) ","",""
,"75+","  378 ( 2.8) ","  44 ( 3.1) ","  67 ( 3.4) "," 163 ( 2.5) "," 104 ( 2.9) ","",""
"total","","13821","1736","1743","6492","3850","",""
,"16-24","  965 ( 7.0) "," 102 ( 5.9) "," 114 ( 6.5) "," 472 ( 7.3) "," 277 ( 7.2) ","<0.001",""
,"25-34"," 2653 (19.2) "," 259 (14.9) "," 346 (19.9) ","1328 (20.5) "," 720 (18.7) ","",""
,"35-44"," 2403 (17.4) "," 270 (15.6) "," 340 (19.5) ","1088 (16.8) "," 705 (18.3) ","",""
,"45-54"," 2438 (17.6) "," 333 (19.2) "," 305 (17.5) ","1151 (17.7) "," 649 (16.9) ","",""
,"55-64"," 3080 (22.3) "," 449 (25.9) "," 382 (21.9) ","1411 (21.7) "," 838 (21.8) ","",""
,"65-74"," 1905 (13.8) "," 255 (14.7) "," 204 (11.7) "," 885 (13.6) "," 561 (14.6) ","",""
,"75+","  377 ( 2.7) ","  68 ( 3.9) ","  52 ( 3.0) "," 157 ( 2.4) "," 100 ( 2.6) ","",""
"total","","13745","1394","2043","6650","3658","",""
,"16-24","  979 ( 7.1) ","  80 ( 5.7) "," 131 ( 6.4) "," 536 ( 8.1) "," 232 ( 6.3) ","<0.001",""
,"25-34"," 2597 (18.9) "," 196 (14.1) "," 444 (21.7) ","1281 (19.3) "," 676 (18.5) ","",""
,"35-44"," 2312 (16.8) "," 201 (14.4) "," 372 (18.2) ","1093 (16.4) "," 646 (17.7) ","",""
,"45-54"," 2394 (17.4) "," 272 (19.5) "," 329 (16.1) ","1168 (17.6) "," 625 (17.1) ","",""
,"55-64"," 3138 (22.8) "," 349 (25.0) "," 440 (21.5) ","1489 (22.4) "," 860 (23.5) ","",""
,"65-74"," 1953 (14.2) "," 248 (17.8) "," 259 (12.7) "," 912 (13.7) "," 534 (14.6) ","",""
,"75+","  372 ( 2.7) ","  48 ( 3.4) ","  68 ( 3.3) "," 171 ( 2.6) ","  85 ( 2.3) ","",""
"total","","13680","1498","2088","5856","4238","",""
,"16-24"," 1004 ( 7.3) ","  90 ( 6.0) "," 124 ( 5.9) "," 454 ( 7.8) "," 336 ( 7.9) ","<0.001",""
,"25-34"," 2508 (18.3) "," 230 (15.4) "," 427 (20.5) ","1110 (19.0) "," 741 (17.5) ","",""
,"35-44"," 2384 (17.4) "," 216 (14.4) "," 374 (17.9) ","1015 (17.3) "," 779 (18.4) ","",""
,"45-54"," 2374 (17.4) "," 282 (18.8) "," 364 (17.4) ","1032 (17.6) "," 696 (16.4) ","",""
,"55-64"," 3085 (22.6) "," 383 (25.6) "," 422 (20.2) ","1313 (22.4) "," 967 (22.8) ","",""
,"65-74"," 1966 (14.4) "," 240 (16.0) "," 309 (14.8) "," 805 (13.7) "," 612 (14.4) ","",""
,"75+","  359 ( 2.6) ","  57 ( 3.8) ","  68 ( 3.3) "," 127 ( 2.2) "," 107 ( 2.5) ","",""
