"","level","Overall","Atlantic","BC","Ontario","Prairies","p","test"
"","n","30309","4157","4917","10119","11116","",""
"","Mean Seropositivity","0.047", "0.007","0.047","0.039","0.070","",""
"sex....","Female","11943 (39.4) ","1743 (41.9) ","1999 (40.7) "," 3902 (38.6) "," 4299 (38.7) ","<0.001",""
"X","Male","18366 (60.6) ","2414 (58.1) ","2918 (59.3) "," 6217 (61.4) "," 6817 (61.3) ","",""
"age_group....","16-24"," 3007 ( 9.9) "," 312 ( 7.5) "," 543 (11.0) ","  955 ( 9.4) "," 1197 (10.8) ","<0.001",""
"X.1","25-34"," 5180 (17.1) "," 705 (17.0) "," 955 (19.4) "," 1645 (16.3) "," 1875 (16.9) ","",""
"X.2","35-44"," 4706 (15.5) "," 665 (16.0) "," 828 (16.8) "," 1442 (14.3) "," 1771 (15.9) ","",""
"X.3","45-54"," 4653 (15.4) "," 652 (15.7) "," 700 (14.2) "," 1749 (17.3) "," 1552 (14.0) ","",""
"X.4","55-64"," 6746 (22.3) "," 969 (23.3) "," 992 (20.2) "," 2310 (22.8) "," 2475 (22.3) ","",""
"X.5","65-74"," 5076 (16.7) "," 706 (17.0) "," 735 (14.9) "," 1715 (16.9) "," 1920 (17.3) ","",""
"X.6","75+","  941 ( 3.1) "," 148 ( 3.6) "," 164 ( 3.3) ","  303 ( 3.0) ","  326 ( 2.9) ","",""
"ethnic....","Minority"," 4679 (15.4) "," 280 ( 6.7) ","1133 (23.0) "," 1627 (16.1) "," 1639 (14.7) ","<0.001",""
"X.7","White","25630 (84.6) ","3877 (93.3) ","3784 (77.0) "," 8492 (83.9) "," 9477 (85.3) ","",""
"quintsoc....","1"," 6401 (21.1) "," 530 (12.7) "," 971 (19.7) "," 2333 (23.1) "," 2567 (23.1) ","<0.001",""
"X.8","2"," 6311 (20.8) ","1023 (24.6) "," 982 (20.0) "," 2366 (23.4) "," 1940 (17.5) ","",""
"X.9","3"," 6124 (20.2) ","1034 (24.9) "," 947 (19.3) "," 1938 (19.2) "," 2205 (19.8) ","",""
"X.10","4"," 5729 (18.9) "," 870 (20.9) "," 841 (17.1) "," 1750 (17.3) "," 2268 (20.4) ","",""
"X.11","5"," 5744 (19.0) "," 700 (16.8) ","1176 (23.9) "," 1732 (17.1) "," 2136 (19.2) ","",""
"quintmat....","1"," 9655 (31.9) "," 772 (18.6) ","1556 (31.6) "," 2748 (27.2) "," 4579 (41.2) ","<0.001",""
"X.12","2"," 7474 (24.7) "," 936 (22.5) ","1281 (26.1) "," 2612 (25.8) "," 2645 (23.8) ","",""
"X.13","3"," 5866 (19.4) "," 869 (20.9) "," 944 (19.2) "," 2149 (21.2) "," 1904 (17.1) ","",""
"X.14","4"," 4710 (15.5) "," 921 (22.2) "," 725 (14.7) "," 1685 (16.7) "," 1379 (12.4) ","",""
"X.15","5"," 2604 ( 8.6) "," 659 (15.9) "," 411 ( 8.4) ","  925 ( 9.1) ","  609 ( 5.5) ","",""
"urban....","Rural"," 3861 (12.7) "," 745 (17.9) "," 156 ( 3.2) "," 1625 (16.1) "," 1335 (12.0) ","<0.001",""
"X.16","Urban","26448 (87.3) ","3412 (82.1) ","4761 (96.8) "," 8494 (83.9) "," 9781 (88.0) ","",""
