"","level","Overall","Atlantic","BC","Ontario","Prairies","p","test"
"","n","300300","29572","48607","137557","84564","",""
"","Mean Seropositivity","0.444","0.372","0.447","0.432","0.487","",""
"sex....","Female","130000 (43.3) ","13384 (45.3) ","21460 (44.2) "," 59295 (43.1) ","35861 (42.4) ","<0.001",""
"X","Male","170300 (56.7) ","16188 (54.7) ","27147 (55.8) "," 78262 (56.9) ","48703 (57.6) ","",""
"age_group....","16-24"," 22572 ( 7.5) "," 1931 ( 6.5) "," 3222 ( 6.6) "," 10531 ( 7.7) "," 6888 ( 8.1) ","<0.001",""
"X.1","25-34"," 51388 (17.1) "," 4052 (13.7) "," 8617 (17.7) "," 24196 (17.6) ","14523 (17.2) ","",""
"X.2","35-44"," 51812 (17.3) "," 4442 (15.0) "," 8624 (17.7) "," 23393 (17.0) ","15353 (18.2) ","",""
"X.3","45-54"," 53764 (17.9) "," 5475 (18.5) "," 8494 (17.5) "," 25297 (18.4) ","14498 (17.1) ","",""
"X.4","55-64"," 69187 (23.0) "," 7652 (25.9) ","10567 (21.7) "," 31864 (23.2) ","19104 (22.6) ","",""
"X.5","65-74"," 43781 (14.6) "," 5099 (17.2) "," 7518 (15.5) "," 18988 (13.8) ","12176 (14.4) ","",""
"X.6","75+","  7796 ( 2.6) ","  921 ( 3.1) "," 1565 ( 3.2) ","  3288 ( 2.4) "," 2022 ( 2.4) ","",""
"ethnic....","Minority"," 51325 (17.1) "," 1977 ( 6.7) ","11885 (24.5) "," 24689 (17.9) ","12774 (15.1) ","<0.001",""
"X.7","White","248975 (82.9) ","27595 (93.3) ","36722 (75.5) ","112868 (82.1) ","71790 (84.9) ","",""
"quintsoc....","1"," 64634 (21.5) "," 3632 (12.3) "," 9365 (19.3) "," 32121 (23.4) ","19516 (23.1) ","<0.001",""
"X.8","2"," 63823 (21.3) "," 7106 (24.0) ","10510 (21.6) "," 30637 (22.3) ","15570 (18.4) ","",""
"X.9","3"," 59988 (20.0) "," 7677 (26.0) "," 9507 (19.6) "," 26477 (19.2) ","16327 (19.3) ","",""
"X.10","4"," 55797 (18.6) "," 6223 (21.0) "," 8488 (17.5) "," 23804 (17.3) ","17282 (20.4) ","",""
"X.11","5"," 56058 (18.7) "," 4934 (16.7) ","10737 (22.1) "," 24518 (17.8) ","15869 (18.8) ","",""
"quintmat....","1"," 88921 (29.6) "," 5126 (17.3) ","13917 (28.6) "," 35904 (26.1) ","33974 (40.2) ","<0.001",""
"X.12","2"," 74204 (24.7) "," 6747 (22.8) ","13076 (26.9) "," 33795 (24.6) ","20586 (24.3) ","",""
"X.13","3"," 61612 (20.5) "," 6180 (20.9) "," 9966 (20.5) "," 30221 (22.0) ","15245 (18.0) ","",""
"X.14","4"," 47710 (15.9) "," 6649 (22.5) "," 7451 (15.3) "," 23702 (17.2) "," 9908 (11.7) ","",""
"X.15","5"," 27853 ( 9.3) "," 4870 (16.5) "," 4197 ( 8.6) "," 13935 (10.1) "," 4851 ( 5.7) ","",""
"urban....","Rural"," 40171 (13.4) "," 5059 (17.1) "," 2358 ( 4.9) "," 22278 (16.2) ","10476 (12.4) ","<0.001",""
"X.16","Urban","260129 (86.6) ","24513 (82.9) ","46249 (95.1) ","115279 (83.8) ","74088 (87.6) ","",""
