Region-Wave,GLM,GLM-w-nonspatial,GLM-w-spatial
Ontario-PreDelta,10953.04,10792.09,10778.91
Ontario-Delta,3262.97, 3212.39,3211.86
Ontario-Omicron,161243.10,160681.99,160674.40
BC-PreDelta,3539.64,3494.69,3493.32
BC-Delta,1816.50,1787.33,1787.34
BC-Omicron,56952.86,56580.27,56578.95
Prairies-PreDelta,9967.58,9885.03,9881.98
Prairies-Delta,5432.21,5357.38,5354.64
Prairies-Omicron,99922.69,99358.87,99351.41
Atlantic-PreDelta,501.87,500.22,500.19
Atlantic-Delta,354.82,356.90,356.11
Atlantic-Omicron,31353.12,31233.64,31223.49
